Year,Region Name,Pounds,Dollars,Collection,Metric Tons
1981,South Atlantic,"537,673,292","132,938,654",Commercial,"243,887"
1981,South Atlantic,"148,173,417",,Recreational,"67,211"
1982,Great Lakes,"1,188,712","698,700",Commercial,539
1982,Gulf,"2,298,388,755","623,903,999",Commercial,"1,042,542"
1982,Gulf,"201,002,937",,Recreational,"91,174"
1982,Middle Atlantic,"913,208,800","212,357,607",Commercial,"414,229"
1982,Middle Atlantic,"182,288,673",,Recreational,"82,686"
1982,New England,"711,792,400","396,617,483",Commercial,"322,867"
1982,New England,"110,467,903",,Recreational,"50,108"
1982,Pacific Coast,"1,183,664,337","386,810,308",Commercial,"536,907"
1982,Pacific Coast,"46,763,433",,Recreational,"21,212"
1982,South Atlantic,"430,861,081","169,303,289",Commercial,"195,437"
1982,South Atlantic,"142,014,316",,Recreational,"64,417"
1983,Great Lakes,"840,727","468,582",Commercial,381
1983,Gulf,"2,517,003,842","633,459,980",Commercial,"1,141,705"
1983,Gulf,"196,530,469",,Recreational,"89,146"
1983,Middle Atlantic,"971,221,800","230,896,670",Commercial,"440,543"
1983,Middle Atlantic,"225,426,580",,Recreational,"102,253"
1983,New England,"707,896,775","429,376,442",Commercial,"321,100"
1983,New England,"81,380,704",,Recreational,"36,914"
1983,Pacific Coast,"790,264,282","298,078,900",Commercial,"358,462"
1983,Pacific Coast,"36,297,864",,Recreational,"16,465"
1983,South Atlantic,"400,313,941","165,662,367",Commercial,"181,581"
1983,South Atlantic,"153,119,216",,Recreational,"69,454"
1984,Great Lakes,"935,449","549,712",Commercial,424
1984,Gulf,"2,634,960,276","663,383,112",Commercial,"1,195,210"
1984,Gulf,"228,650,173",,Recreational,"103,715"
1984,Middle Atlantic,"837,092,300","249,034,829",Commercial,"379,703"
1984,Middle Atlantic,"199,680,726",,Recreational,"90,575"
1984,New England,"717,930,679","450,513,533",Commercial,"325,651"
1984,New England,"70,985,155",,Recreational,"32,199"
1984,Pacific Coast,"786,096,411","286,529,380",Commercial,"356,571"
1984,Pacific Coast,"36,623,763",,Recreational,"16,612"
1984,South Atlantic,"409,952,372","152,357,910",Commercial,"185,953"
1984,South Atlantic,"135,873,180",,Recreational,"61,632"
1985,Great Lakes,"2,516,282","726,550",Commercial,"1,141"
1985,Gulf,"2,416,974,622","622,336,452",Commercial,"1,096,332"
1985,Gulf,"151,857,558",,Recreational,"68,882"
1985,Middle Atlantic,"986,102,288","238,016,931",Commercial,"447,293"
1985,Middle Atlantic,"171,320,947",,Recreational,"77,711"
1985,New England,"600,678,341","423,753,760",Commercial,"272,466"
1985,New England,"97,216,869",,Recreational,"44,097"
1985,Pacific Coast,"808,833,748","276,827,410",Commercial,"366,885"
1985,Pacific Coast,"33,852,129",,Recreational,"15,355"
1985,South Atlantic,"307,391,242","157,937,316",Commercial,"139,432"
1985,South Atlantic,"133,782,564",,Recreational,"60,683"
1986,Great Lakes,"1,108,554","419,876",Commercial,503
1986,Gulf,"2,366,908,923","807,085,983",Commercial,"1,073,623"
1986,Gulf,"196,786,439",,Recreational,"89,262"
1986,Middle Atlantic,"790,114,163","256,901,829",Commercial,"358,393"
1986,Middle Atlantic,"215,764,649",,Recreational,"97,870"
1986,New England,"553,975,753","448,052,138",Commercial,"251,282"
1986,New England,"115,741,751",,Recreational,"52,500"
1986,Pacific Coast,"805,140,721","326,418,894",Commercial,"365,209"
1986,Pacific Coast,"35,615,081",,Recreational,"16,155"
1986,South Atlantic,"253,896,590","157,586,562",Commercial,"115,167"
1986,South Atlantic,"136,975,380",,Recreational,"62,132"
1987,Great Lakes,"678,688","504,631",Commercial,308
1987,Gulf,"2,533,038,452","770,473,050",Commercial,"1,148,979"
1987,Gulf,"158,472,448",,Recreational,"71,883"
